FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,wkb_geometry
trafiktaelling.1,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4 eller 5A,3,Andre faste tællinger,42650,"3,8",49900,55900,21601,"1,2",22200,26400,,,,,,,,,,,20160921,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UJpxEGxaCg.pdf,3.79999995,1.20000005,1016,,,,POINT (12.565491397230991 55.67796084860272)
trafiktaelling.2,3,Bredgade,nord for Kongens Nytorv,3 eller 4,3,Andre faste tællinger,9946,"4,6",11600,13000,6261,"2,4",6400,7600,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/txHU3EqDSV.pdf,4.5999999,2.4000001,145,,,,POINT (12.587600106423727 55.68116360238515)
trafiktaelling.3,4,Christian d. IV's Bro,syd for Niels Juels Gade,ingen,3,Andre faste tællinger,13016,"0,3",15200,17100,4510,"2,6",4600,5500,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cpXRg96fo9.pdf,0.30000001,2.5999999,41,,,,POINT (12.587161874224892 55.67576459605928)
trafiktaelling.4,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,4359,"14,8",5100,5700,34308,"3,4",35300,41900,,,,,,,,,,,20180913,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/AGGnpcWVvI.pdf,14.80000019,3.4000001,90,,,,POINT (12.563784830098982 55.68673054140091)
trafiktaelling.5,6,Kampmannsgade,ud for søerne,,2,Søsnittet,4618,"3,5",5400,6000,9553,"2,0",9800,11700,,,,,,,,,,,20180904,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/GeHWdw7YE7.pdf,3.5,2,51,,,,POINT (12.557917540101617 55.67797681383055)
trafiktaelling.6,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,30684,"3,7",35900,40200,3197,"3,1",3300,3900,,,,,,,,,,,20160524,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CSjbk8swcj.pdf,3.70000005,3.0999999,935,,,,POINT (12.511031602695915 55.65061985186046)
trafiktaelling.7,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,11239,"2,2",13100,14700,2215,"3,7",2300,2700,,,,,,,,,,,20180515,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/91Obsf461G.pdf,2.20000005,3.70000005,189,,,,POINT (12.599845636263538 55.63848509063259)
trafiktaelling.8,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,531,"2,1",600,700,2724,,2800,3300,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tY91YGf9p1.pdf,2.0999999,,11,,,,POINT (12.572503733886563 55.6759724596037)
trafiktaelling.9,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,64,,100,100,1260,,1300,1500,35606,41700,43100,,,,,,,41700,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/gsufDE4hgG.pdf,,,0,,,,POINT (12.572683528145083 55.683211342280345)
trafiktaelling.10,12,Frederiksborggade,sydøst for Søtorvet,43 eller 54,3,Andre faste tællinger,4146,"15,2",4900,5400,17085,"3,2",17600,20800,,,,,,,,,,,20180925,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/awJ4FY3wSP.pdf,15.19999981,3.20000005,65,,,,POINT (12.565982914961095 55.68584794482788)
trafiktaelling.11,13,Frederiksborgvej,syd for Gladsaxevej,221,1,Kommunegrænsen,11298,"3,7",13200,14800,5827,"1,4",6000,7100,,,,,,,,,,,20180517,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oEeV1xJBiQ.pdf,3.70000005,1.39999998,88,,,,POINT (12.525153439020626 55.72710588532442)
trafiktaelling.12,14,Frederikssundsvej,ved fæstningsvolden,356,1,Kommunegrænsen,15914,"3,8",18600,20800,4131,"1,5",4300,5000,,,,,,,,,,,20180523,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/MyFaaswn2w.pdf,3.79999995,1.5,219,,,,POINT (12.467131018190686 55.71336181629868)
trafiktaelling.13,16,Gl. Køge Landevej,syd for Vigerslevvej,220A,1,Kommunegrænsen,12818,"4,7",15000,16800,3844,"1,6",4000,4700,,,,,,,,,,,20180612,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/DsOEZUPWhJ.pdf,4.69999981,1.60000002,277,,,,POINT (12.501067806935957 55.64241479721176)
trafiktaelling.14,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,3752,"1,8",4400,4900,12174,"2,2",12500,14900,,,,,,,,,,,20180925,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/lPghwXsZ18.pdf,1.79999995,2.20000005,57,,,,POINT (12.566545050457881 55.68641228608003)
trafiktaelling.15,18,Grøndals Parkvej,nord for Peter Bangs Vej,ingen,3,Andre faste tællinger,12445,"3,9",14600,16300,2173,"1,7",2200,2700,,,,,,,,,,,20180531,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ep5cW6B3Vc.pdf,3.9000001,1.70000005,252,,,,POINT (12.487389543509753 55.677771624338185)
trafiktaelling.16,19,Gyldenløvesgade,ud for Søpavillonen,24,2,Søsnittet,41033,"3,7",48000,53800,28185,"2,2",29000,34400,,,,,,,,,,,20180905,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/nYe1TjaQWT.pdf,3.70000005,2.20000005,724,,,,POINT (12.559080062995465 55.681775659145515)
trafiktaelling.17,20,Hareskovvej,nordvest for Mosesvinget (Hillerødmotorvejen),,1,Kommunegrænsen,50811,"1,8",59400,66600,5494,"1,0",5700,6700,,,,,,,,,,,20180612,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3wkpZxK50u.pdf,1.79999995,1,602,,,,POINT (12.50390557494531 55.7134171158951)
trafiktaelling.18,21,Hillerødgade,vest for Borups Allé,89 eller 112,3,Andre faste tællinger,14553,"3,3",17000,19100,4409,"2,5",4500,5400,,,,,,,,,,,20170517,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n2Qff6aoz5.pdf,3.29999995,2.5,331,,,,POINT (12.524266152957384 55.69677357124775)
trafiktaelling.19,23,Jagtvej,syd for Nørrebrogade,69,3,Andre faste tællinger,13726,"3,8",16100,18000,13225,"2,1",13600,16100,,,,,,,,,,,20170517,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/0Enmrw2QUu.pdf,3.79999995,2.0999999,257,,,,POINT (12.54776058939393 55.69340378959886)
trafiktaelling.20,24,Jyllingevej,vest for Tudskærvej,125,1,Kommunegrænsen,28982,"3,1",33900,38000,2210,"2,6",2300,2700,,,,,,,,,,,20180529,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gwdzksktMB.pdf,3.0999999,2.5999999,590,,,,POINT (12.468280663263844 55.69149076083171)
trafiktaelling.21,25,Kalvebod Brygge,sydvest for Bernstorffgade,37,2,Søsnittet,32543,"5,0",38100,42600,2860,"3,4",2900,3500,,,,,,,,,,,20180912,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/foOrGUciJf.pdf,5,3.4000001,1007,,,,POINT (12.569969800636589 55.66710839094156)
trafiktaelling.22,26,Knippelsbro,nord for Torvegade,,2,Søsnittet,19748,"6,0",23100,25900,27910,"2,3",28700,34100,,,,,,,,,,,20180919,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/SPkXcAycpD.pdf,6,2.29999995,436,,,,POINT (12.586998878059132 55.67489294070491)
trafiktaelling.23,27,Kristen Bernikows Gade,nordvest for Østergade,2,3,Andre faste tællinger,3979,"5,5",4700,5200,15755,"2,2",16200,19200,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9Zw61sXjXY.pdf,5.5,2.20000005,126,,,,POINT (12.582295655249021 55.67998567768585)
trafiktaelling.24,29,Langebro,vest for Amager Boulevard,,2,Søsnittet,44598,"4,4",52200,58400,32607,2,33600,39800,,,,,,,,,,,20180918,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/G7k42Zm3tQ.pdf,4.4000001,2,1162,,,,POINT (12.578524713360443 55.67042883796164)
trafiktaelling.25,31,Lyngbyvej,ved Emdrupvej,144,1,Kommunegrænsen,67887,"3,0",79400,88900,0,,0,0,,,,,,,,,,,20180517,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/688OSI3dmT.pdf,3,,1834,,,,POINT (12.556679854965624 55.71896950142801)
trafiktaelling.26,32,Nørre Allé,syd for Universitetsparken,ingen,3,Andre faste tællinger,23384,"3,2",27400,30600,9323,"1,7",9600,11400,,,,,,,,,,,20180524,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/F4YJVPRtBx.pdf,3.20000005,1.70000005,249,,,,POINT (12.56231015080022 55.702095673593895)
trafiktaelling.27,33,Nørregade,sydøst for Nørre Voldgade,40 eller 49,3,Andre faste tællinger,3898,"7,0",4600,5100,9063,"4,1",9300,11100,,,,,,,,,,,20180926,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/RRzQ2JQdrN.pdf,7,4.0999999,106,,,,POINT (12.570985144966079 55.68203718389299)
trafiktaelling.28,34,Nørre Voldgade,nordøst for Jarmers Plads,6,3,Andre faste tællinger,11472,"12,4",13400,15000,8670,"2,1",8900,10600,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/v26l8POkWq.pdf,12.39999962,2.0999999,574,,,,POINT (12.56673819245438 55.67921630423488)
trafiktaelling.29,36,Roskildevej,ud for Damhussøen,213,1,Kommunegrænsen,26745,"3,9",31300,35000,5804,"1,5",6000,7100,,,,,,,,,,,20180531,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Hyg5MGdcVo.pdf,3.9000001,1.5,516,,,,POINT (12.476224094045241 55.67272468616919)
trafiktaelling.30,37,Sjællandsbroen,øst for Sluseholmen,,3,Andre faste tællinger,44677,"5,8",52300,58500,2107,"2,0",2200,2600,,,,,,,,,,,20180613,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/XhMeh74s1T.pdf,5.80000019,2,1753,,,,POINT (12.55037701730951 55.64161980604726)
trafiktaelling.31,40,Slotsherrensvej,ved Islev St.,139 eller 140,1,Kommunegrænsen,13007,"2,1",15200,17000,2343,"3,1",2400,2900,,,,,,,,,,,20180531,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rc3t0bB2qH.pdf,2.0999999,3.0999999,178,,,,POINT (12.46813625451385 55.69993412700755)
trafiktaelling.32,41,St. Kongens Gade,nord for Kongens Nytorv,7 eller 24,3,Andre faste tællinger,10972,"4,3",12800,14400,7939,"2,5",8200,9700,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3QihhObi2k.pdf,4.30000019,2.5,198,,,,POINT (12.585604179900852 55.68182401685068)
trafiktaelling.33,42,Strandboulevarden,nord for Classensgade,13 eller 32,2,Søsnittet,6751,"2,6",7900,8800,3125,"2,6",3200,3800,,,,,,,,,,,20180906,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0LtnwhxBWe.pdf,2.5999999,2.5999999,86,,,,POINT (12.59041180278704 55.69918161400109)
trafiktaelling.34,43,Strandvejen,nord for Dessaus Bouilevard,115,1,Kommunegrænsen,15351,"4,0",18000,20100,8253,"2,5",8500,10100,,,,,,,,,,,20180503,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tDFuHeYHP0.pdf,4,2.5,258,,,,POINT (12.577449894629323 55.72376879642313)
trafiktaelling.35,44,Sølvgade,nordvest for Øster Farimagsgade,87 eller 88,3,Andre faste tællinger,10625,"5,4",12400,13900,6883,"1,8",7100,8400,,,,,,,,,,,20150929,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VMM9vV0gCE.pdf,5.4000001,1.79999995,111,,,,POINT (12.573390208881456 55.68982339564058)
trafiktaelling.36,45,Sønderkær,syd for Holbækmotorvejen,,1,Kommunegrænsen,3629,"3,0",4200,4800,1517,,1600,1900,,,,,,,,,,,20180607,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/DfjTjkqJQR.pdf,3,,55,,,,POINT (12.486466414448623 55.65226217613392)
trafiktaelling.37,46,Tagensvej,sydøst for Tuborgvej,196 A,3,Andre faste tællinger,15748,"3,4",18400,20600,4865,"1,3",5000,5900,,,,,,,,,,,20161005,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/s04r6zK8yF.pdf,3.4000001,1.29999995,188,,,,POINT (12.535682770235717 55.71288570702341)
trafiktaelling.38,48,Tuborgvej,syd for Bispebjerg Parkallé,174 eller 177,3,Andre faste tællinger,25063,"2,2",29300,32800,3433,"1,4",3500,4200,,,,,,,,,,,20160420,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1UeWRJfPgu.pdf,2.20000005,1.39999998,396,,,,POINT (12.540251638940845 55.71888612801367)
trafiktaelling.39,49,Tuborgvej,sydvest for Lundedalsvej,157,1,Kommunegrænsen,25017,"2,0",29300,32800,3594,"1,3",3700,4400,,,,,,,,,,,20180517,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ydEbfMbgk2.pdf,2,1.29999995,285,,,,POINT (12.545781356308602 55.7225462577602)
trafiktaelling.40,52,Vesterbrogade,sydvest for Rådhuspladsen,3,3,Andre faste tællinger,7984,"13,7",9300,10500,9532,"2,7",9800,11600,,,,,,,,,,,20150903,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/7UK3CyGTz0.pdf,13.69999981,2.70000005,,,,,POINT (12.566163416952413 55.67519387259877)
trafiktaelling.41,53,Vester Farimagsgade,nord for Ved vesterport,7,3,Andre faste tællinger,11617,"3,4",13600,15200,6045,"2,8",6200,7400,,,,,,,,,,,20141009,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/yTYua8bDrV.pdf,3.4000001,2.79999995,,,,,POINT (12.561766317309885 55.67567150508531)
trafiktaelling.42,54,Vigerslev Allé,øst for Toftegårds plads,38,3,Andre faste tællinger,14815,"6,5",17300,19400,5965,"1,6",6100,7300,,,,,,,,,,,20160524,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1a87U5IxOY.pdf,6.5,1.60000002,312,,,,POINT (12.518333385402117 55.661660987474434)
trafiktaelling.43,55,Vigerslev Allé,vest for Vigerslevvej,362A,1,Kommunegrænsen,4076,"9,1",4800,5300,2396,"1,8",2500,2900,,,,,,,,,,,20180607,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/BTuOrAAEdR.pdf,9.10000038,1.79999995,59,,,,POINT (12.485722160115412 55.65466783328446)
trafiktaelling.44,56,Vigerslevvej,nord for Langagervej,113,3,Andre faste tællinger,13754,"2,5",16100,18000,1107,"2,2",1100,1400,,,,,,,,,,,20160427,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/qav5mXGZUt.pdf,2.5,2.20000005,226,,,,POINT (12.482843073467711 55.66353306540168)
trafiktaelling.45,57,Østbanegade,nord for Classensgade,55,2,Søsnittet,443,"5,0",500,600,2223,"1,8",2300,2700,,,,,,,,,,,20180906,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/iAVPRR1mFe.pdf,5,1.79999995,20,,,,POINT (12.591555819239035 55.69948510717175)
trafiktaelling.46,58,Øster Allé,øst for Nørre Allé,ingen,3,Andre faste tællinger,8096,"1,8",9500,10600,2516,"2,5",2600,3100,,,,,,,,,,,20180524,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/IZ7SZVxEZG.pdf,1.79999995,2.5,106,,,,POINT (12.56426472096164 55.70566503366393)
trafiktaelling.47,59,Østerbrogade,nord for Classensgade,,2,Søsnittet,15294,"4,4",17900,20000,20707,"3,4",21300,25300,,,,,,,,,,,20180906,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/zHCrVn3iFX.pdf,4.4000001,3.4000001,172,,,,POINT (12.579590922431816 55.696738954035304)
trafiktaelling.48,60,Øster Søgade,nordøst for Gothersgade,8,3,Andre faste tællinger,20478,"1,6",24000,26800,9448,"2,8",9700,11500,,,,,,,,,,,20180913,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9HjWlfenx2.pdf,1.60000002,2.79999995,295,,,,POINT (12.56624810830595 55.68702946472226)
trafiktaelling.49,61,Åboulevard,nordvest for Tømrergade,16,3,Andre faste tællinger,37500,"2,9",43900,49100,10603,"1,4",10900,12900,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CGuPQPAA0U.pdf,2.9000001,1.39999998,656,,,,POINT (12.555942314686671 55.68340207576481)
trafiktaelling.50,62,Amagerbrogade,syd for Adriansvej,289,1,Kommunegrænsen,7988,"5,2",9300,10500,3742,"4,1",3900,4600,,,,,,,,,,,20180531,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/h6x3OtoYsw.pdf,5.19999981,4.0999999,126,,,,POINT (12.616641064774113 55.641582551118255)
trafiktaelling.51,63,Amager Strandvej,syd for Hedegårdsvej,,1,Kommunegrænsen,12935,"7,6",15100,16900,1324,"3,5",1400,1600,,,,,,,,,,,20180530,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/DBEs2EwwBX.pdf,7.5999999,3.5,876,,,,POINT (12.642569861925963 55.64625528762304)
trafiktaelling.52,64,Amaliegade,nord for Toldbodgade,35 eller 44,3,Andre faste tællinger,6067,"4,5",7100,7900,3177,,3300,3900,,,,,,,,,,,20150609,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8UHibGRyHs.pdf,4.5,,90,,,,POINT (12.59553402294219 55.68680821210819)
trafiktaelling.53,65,Dag Hammerskjölds Allé,sydøst for Øster Farimagsgade,33,3,Andre faste tællinger,11630,"5,1",13600,15200,11790,"2,5",12100,14400,,,,,,,,,,,20140902,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FHSKuHaHfk.pdf,5.0999999,2.5,237,,,,POINT (12.581091083219517 55.69527947913001)
trafiktaelling.54,67,Enghavevej,nord for P. Knudsensgade,200,3,Andre faste tællinger,16835,"5,4",19700,22100,8751,"4,0",9000,10700,,,,,,,,,,,20180612,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/6I67MNkIEO.pdf,5.4000001,4,396,,,,POINT (12.538699975241007 55.653779785554775)
trafiktaelling.55,68,Folke Bernadottes Alle,syd for Indiakaj,45,3,Andre faste tællinger,18843,"5,7",22000,24700,7636,"2,9",7900,9300,,,,,,,,,,,20180925,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Mb5PdSxt3B.pdf,5.69999981,2.9000001,587,,,,POINT (12.59309375320461 55.69455936818867)
trafiktaelling.56,69,Fredensbro,sydøst for Fredensgade 1,ingen,2,Søsnittet,29780,"4,1",34800,39000,17878,"2,4",18400,21800,,,,,,,,,,,20180906,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/M3QMX5hswl.pdf,4.0999999,2.4000001,321,,,,POINT (12.56985086796188 55.69174745981588)
trafiktaelling.57,70,Grønnemose Allé,vest for Moseskellet,,1,Kommunegrænsen,2047,"0,5",2400,2700,1638,,1700,2000,,,,,,,,,,,20180517,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/fhiOJozK6t.pdf,0.5,,9,,,,POINT (12.521733883992844 55.72256218294855)
trafiktaelling.58,71,Horsebakken,nord for Mosesvinget,88,1,Kommunegrænsen,2656,"2,3",3100,3500,1350,,1400,1600,,,,,,,,,,,20180517,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/fWu7LnuTtG.pdf,2.29999995,,10,,,,POINT (12.513114079444913 55.71814905021928)
trafiktaelling.59,72,Ingerslevsgade,sydøst for Tietgensgade,ingen,2,Søsnittet,7394,"8,7",8700,9700,4444,"2,1",4600,5400,,,,,,,,,,,20180904,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/DqbnmGy79x.pdf,8.69999981,2.0999999,186,,,,POINT (12.565332825581402 55.6699136470963)
trafiktaelling.60,73,Islevhusvej,nordøst for Islevholm,83,1,Kommunegrænsen,9246,"4,4",10800,12100,1458,"1,8",1500,1800,,,,,,,,,,,20180523,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/skiJAlpJCZ.pdf,4.4000001,1.79999995,111,,,,POINT (12.457557345428963 55.70751500606509)
trafiktaelling.61,74,Kastrupvej,syd for Backersvej,,1,Kommunegrænsen,9106,"2,9",10700,11900,2142,"3,4",2200,2600,,,,,,,,,,,20180530,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/IO11sjFMTB.pdf,2.9000001,3.4000001,99,,,,POINT (12.628381928777406 55.644321528356485)
trafiktaelling.62,75,Kongelundsvej,nord for Floridavej,54A,1,Kommunegrænsen,8297,"3,7",9700,10900,2111,"8,0",2200,2600,,,,,,,,,,,20180515,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/26lnEUCCc7.pdf,3.70000005,8,169,,,,POINT (12.588758493854064 55.63804014120539)
trafiktaelling.63,76,Kronprinsessegade,nord for Gothersgade,3 eller 6,3,Andre faste tællinger,650,"2,6",800,900,7189,,7400,8800,,,,,,,,,,,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/qme1OQmU90.pdf,2.5999999,,15,,,,POINT (12.58108086012055 55.68306269833364)
trafiktaelling.64,78,Mørkhøjvej,nord for Frederikssundsvej,2,1,Kommunegrænsen,7323,"4,1",8600,9600,2734,"1,2",2800,3300,,,,,,,,,,,20180523,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VrCik4Ukg4.pdf,4.0999999,1.20000005,65,,,,POINT (12.468194045046438 55.71323136395116)
trafiktaelling.65,79,Rygårds Allé,syd for Lundeskovsvej,104,1,Kommunegrænsen,987,"2,0",1200,1300,971,,1000,1200,,,,,,,,,,,20180516,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/xt04scQ8RK.pdf,2,,19,,,,POINT (12.559603740554357 55.722607994675045)
trafiktaelling.66,80,Ryvangs Allé,syd for Callisensvej,76,1,Kommunegrænsen,6177,"0,6",7200,8100,3392,"1,5",3500,4100,,,,,,,,,,,20180516,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/SQzm9WSdxZ.pdf,0.60000002,1.5,27,,,,POINT (12.568556754187211 55.72939153042308)
trafiktaelling.67,81,Sumatravej,nord for Hedegårdsvej,72,3,Andre faste tællinger,223,"4,0",300,300,255,,300,300,,,,,,,,,,,20170504,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/6GUOwYHKN5.pdf,4,,7,,,,POINT (12.633782421132697 55.645498354194466)
trafiktaelling.68,82,Svanemøllevej,syd for Callisensvej,77,1,Kommunegrænsen,1398,"1,4",1600,1800,876,,900,1100,,,,,,,,,,,20180516,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/JRk60EvK9K.pdf,1.39999998,,18,,,,POINT (12.57393655179169 55.72906722707083)
trafiktaelling.69,83,Sølvgade,øst for Øster Voldgade,38,3,Andre faste tællinger,10856,"2,8",12700,14200,7999,"3,6",8200,9800,,,,,,,,,,,20140930,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/JBi39VZdkx.pdf,2.79999995,3.5999999,120,,,,POINT (12.579650508668696 55.68714796433991)
trafiktaelling.70,84,Sølvgade,øst for Stokholmsgade,81 eller 50,3,Andre faste tællinger,15994,"7,0",18700,21000,13218,"2,6",13600,16100,,,,,,,,,,,20150929,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5hbVrY2pKo.pdf,7,2.5999999,202,,,,POINT (12.575474654048154 55.688949027631466)
trafiktaelling.71,86,Torvegade,nord for Christmas Møllers Plads,75,3,Andre faste tællinger,18018,5.0,21100,23600,23641,"2,6",24400,28800,,,,,,,,,,,20171003,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EMD5CW8boE.pdf,5,2.5999999,379,,,,POINT (12.59523196609638 55.670157664232065)
trafiktaelling.72,87,Universitetsparken,vest for Nørre Allé,2,3,Andre faste tællinger,3971,"2,4",4600,5200,5187,"2,8",5300,6300,,,,,,,,,,,20181024,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZPN0KH9v2n.pdf,2.4000001,2.79999995,90,,,,POINT (12.560427598468346 55.70270671465646)
trafiktaelling.73,90,Øster Farimagsgade,nordøst for Gothersgade,2A eller 3,3,Andre faste tællinger,11400,"4,0",13300,14900,10844,"3,3",11200,13200,,,,,,,,,,,20180926,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/M7k0ymp8yL.pdf,4,3.29999995,173,,,,POINT (12.569644529771258 55.68610702378902)
trafiktaelling.74,91,Øster Voldgade,Syd for Sølvgade,5,3,Andre faste tællinger,9651,"16,2",11300,12600,7236,3,7500,8800,,,,,,,,,,,20160428,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UVYLWDaGm6.pdf,16.20000076,3,515,,,,POINT (12.577468746205687 55.68702493169137)
trafiktaelling.75,92,Amager Boulevard,nordvest for Amagerbrogade,130 eller 133,3,Andre faste tællinger,10680,"4,9",12500,14000,7031,"1,5",7200,8600,,,,,,,,,,,20170523,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/59Q8AuDdud.pdf,4.9000001,1.5,147,,,,POINT (12.598300096744339 55.6657139417284)
trafiktaelling.76,94,Amagerbrogade,nord for Englandsvej,120,3,Andre faste tællinger,10159,"6,9",11900,13300,11100,"1,5",11400,13500,,,,,,,,,,,20140522,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EOGxWktcH7.pdf,6.9000001,1.5,157,,,,POINT (12.607513666470583 55.65841463655803)
trafiktaelling.77,98,Annebergvej,nord for bellahøjvej,4,3,Andre faste tællinger,3200,"12,1",3700,4200,2200,"1,9",2300,2700,,,,,,,,,,,20140917,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/zo11tM7XGb.pdf,12.10000038,1.89999998,,,,,POINT (12.502642892345266 55.69638366438825)
trafiktaelling.78,99,Bellahøjvej,syd for Frederikssundsvej,4A,3,Andre faste tællinger,8263,"2,2",9700,10800,1548,"1,3",1600,1900,,,,,,,,,,,20150520,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/nZhyv1Dq6D.pdf,2.20000005,1.29999995,80,,,,POINT (12.513850359733954 55.705537445212705)
trafiktaelling.79,103,Borgergade,nord for Gothersgade,2 eller 3,3,Andre faste tællinger,2996,"1,6",3500,3900,4391,"2,8",4500,5400,,,,,,,,,,,20141008,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kZkcN4VWcL.pdf,1.60000002,2.79999995,,,,,POINT (12.583917949382636 55.68234291168296)
trafiktaelling.80,109,Dybbølsbro,mellem Kalvebod brygge og Ingerslevsgade,,3,Andre faste tællinger,5676,"3,7",6600,7400,19969,"2,6",20600,24400,,,,,,,,,,,20180918,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/NohMKXT8VP.pdf,3.70000005,2.5999999,138,,,,POINT (12.559472902659957 55.66466355558428)
