FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,wkb_geometry
trafiktaelling.614,7625,Tuborgvej,Gangtunnel under Tuborgvej ved Rymarksvej,66,100,Øvrige tællinger,,,,,,,,,472,600,600,,,,,,,600,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/jSZ3EOzoeI.pdf,,,,,,,POINT (12.563461560033932 55.72788566135158)
trafiktaelling.615,7626,Vigerslevvej,Gangtunnel under Vigerslevvej ved Hansstedsvej,99,100,Øvrige tællinger,,,,,23,,0,0,70,100,100,,,,,,,100,20160926,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/LdgPqku5sJ.pdf,,,,,,,POINT (12.48434872743389 55.66542720818396)
trafiktaelling.616,7627,Østerbrogade,Gangtunnel under Østerbrogade ved Koldinggade,136,100,Øvrige tællinger,,,,,,,,,215,300,300,,,,,,,300,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/moY37RjqR0.pdf,,,,,,,POINT (12.577401627662502 55.70655194705803)
trafiktaelling.617,7628,Østerbrogade,Gangtunnel under Østerbrogade ved Sionsgade,190,100,Øvrige tællinger,,,,,,,,,300,400,400,,,,,,,400,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/GQOspFptXw.pdf,,,,,,,POINT (12.577571002990581 55.71101573655682)
trafiktaelling.618,7629,Østerbrogade,Gangtunnel under Østerbrogade ved Sortedam Dossering,60,100,Øvrige tællinger,,,,,,,,,535,600,600,,,,,,,600,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/16DBpBFVFG.pdf,,,,,,,POINT (12.578842180923793 55.697859421960764)
trafiktaelling.619,7630,Østerbrogade,Gangtunnel under Østerbrogade ved Svanemøllebro,167,100,Øvrige tællinger,,,,,,,,,1591,1900,1900,,,,,,,1900,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/rswGYFTwVV.pdf,,,,,,,POINT (12.5775112256451 55.715633565490066)
trafiktaelling.620,7630,Østerbrogade,Gangtunnel under Østerbrogade ved Svanemøllebro,167,100,Øvrige tællinger,,,,,20,,0,0,1591,1900,1900,,,,,,,1900,20110816,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/QNep4PMeYl.pdf,,,,,,,POINT (12.5775112256451 55.715633565490066)
trafiktaelling.621,7631,Teglværksbroen,,,100,Øvrige tællinger,,,,,,,,,2264,2600,2700,,,,,,,2600,20170601,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/rjBWqUvjh2.pdf,,,,,,,POINT (12.550517455886 55.64772094465158)
trafiktaelling.622,7632,Tove Ditlevsens Plads,,,100,Øvrige tællinger,,,,,889,,900,1100,2580,3000,3100,,,,,,,3000,20160913,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oeVwjyEUc9.pdf,,,,,,,POINT (12.54551165229612 55.66925915596502)
trafiktaelling.623,7633,Valby Langgade,FOD,125,100,Øvrige tællinger,,,,,,,,,2278,2700,2800,,,,,,,2700,20140604,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/D5FHLFphok.pdf,,,,,,,POINT (12.504076823174252 55.6667500525575)
trafiktaelling.624,7634,Valbyparken,Valbyparken - stien øst for Kalvebodstien ,,100,Øvrige tællinger,,,,,126,"0,8",100,200,130,200,200,,,,,,,200,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gbdC7mO40r.pdf,,0.80000001,,,,,POINT (12.52568441005027 55.637345855541994)
trafiktaelling.625,7635,Vesterbrogade ,Vesterbrogade - ved Tivoli/Bryggeriet,3,100,Øvrige tællinger,,,,,,,,,22997,26900,27800,,,,,,,26900,20180620,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/prdlrr7qcz.pdf,,,,,,,POINT (12.565946323498252 55.67490460097625)
trafiktaelling.626,7636,Yrsa Plads,,,100,Øvrige tællinger,,,,,7527,"2,6",7800,9200,2797,3300,3400,,,,,,,3300,20160913,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/R51vdUYxnw.pdf,,2.5999999,,,,,POINT (12.558022853052442 55.66535866549482)
trafiktaelling.627,8001,Hyltebjerg Allé,vest for Ålekistevej,,9999,Øvrige tællinger,1242,"1,7",1500,1600,2928,,3000,3600,,,,,,,,,,,20140521,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/6ee0pdCfBE.pdf,1.70000005,,,,,,POINT (12.483105192435882 55.68266687241436)
trafiktaelling.628,8005,Langelinjebroen,Cykel- og gangbro,,100,Øvrige tællinger,,,,,1400,,1400,1700,1100,1300,1300,,,,,,,1300,20100615,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/zZr79PfWa0.pdf,,,,,,,POINT (12.59209526049701 55.69519309394248)
trafiktaelling.629,8006,Cykelruten,syd for Tagensvej,,100,Øvrige tællinger,,,,,6174,"2,6",6400,7500,1506,1800,1800,,,,,,,1800,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/q94y2MY0Py.pdf,,2.5999999,0,,,,POINT (12.544572876351447 55.704230903507515)
trafiktaelling.630,8007,Tycho Brahes Allé,vest for Kastrupvej,40,100,Øvrige tællinger,400,"1,6",500,500,400,"0,3",400,500,400,500,500,,,,,,,500,20090416,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/RqpLeNcbma.pdf,1.60000002,0.30000001,,,,,POINT (12.61492196819693 55.65608040778611)
trafiktaelling.631,8008,Lillegrund,nordøst for Kirkegårdsvej,8,100,Øvrige tællinger,400,10,500,500,600,8,600,700,500,600,600,,,,,,,600,20090416,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/4G46qGMPOa.pdf,10,8,,,,,POINT (12.612583214607529 55.658012326991994)
trafiktaelling.632,8009,Øresundsvej,nordøst for Kirkegårdsvej,33,100,Øvrige tællinger,5100,5,6000,6700,2300,"3,5",2400,2800,1700,2000,2100,,,,,,,2000,20090416,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EzMbqCp8gR.pdf,5,3.5,,,,,POINT (12.61103487590134 55.659870147908535)
trafiktaelling.633,8010,Frankrigsgade,øst for Ålandsgade,21,100,Øvrige tællinger,1400,"5,2",1600,1800,1100,2,1100,1300,1000,1200,1200,,,,,,,1200,20090416,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UqlfFnFnVt.pdf,5.19999981,2,,,,,POINT (12.608298407655306 55.66194680204511)
trafiktaelling.634,8011,Cykelruten,syd for Nørrebrogade - Cafe Castro,,100,Øvrige tællinger,,,,,7439,"2,6",7700,9100,1402,1600,1700,,,,,,,1600,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/7KYATNqU6H.pdf,,2.5999999,0,,,,POINT (12.54152923938923 55.69880859326526)
trafiktaelling.635,8012,Sydbanestien,øst for Sjælør Boulevard,,100,Øvrige tællinger,,,,,700,"2,4",700,900,200,200,200,,,,,,,200,20090526,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1KJc8rYxF7.pdf,,2.4000001,,,,,POINT (12.528580816671527 55.651999639220186)
trafiktaelling.636,9001,Kødboderne,nordøst for Skelbækgade,3,100,Øvrige tællinger,3205,"3,0",3700,4200,1702,,1800,2100,,,,,,,,,,,20150909,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kU6ddODRIt.pdf,3,,95,,,,POINT (12.55815534649189 55.666366702877966)
